Aa en Hunze,  Amsterdamse-straatweg 
Aalsmeer,A.B.C.-straat
Aalten,Abstederdijk
Achtkarspelen,Achter de Dom
Alblasserdam,Achter Sint Pieter
Albrandswaard,Adriaen van Ostadelaan
Alkmaar,Agnietenstraat
Almelo,Alexander Numankade
Almere,Ambachtstraat
Alphen aan den Rijn,Amsterdamsestraatweg
Alphen-Chaam,Annastraat
Altena,  Blauwkapelseweg 
Ameland,Baden-Powellweg
Amersfoort,Berekuil
Amstelveen,Billitonkade
Amsterdam,Biltsche Grift
Apeldoorn,Biltstraat
Appingedam,Blauwkapelseweg
Arnhem,Bokstraat
Assen,Bollenhofsestraat
Asten,Boothstraat
Baarle-Nassau,Boterstraat
Baarn,Breedstraat
Barendrecht,Burgemeester Norbruislaan
Barneveld,Burgemeester Reigerstraat
Beek,  Croesestraat 
Beekdaelen,Catharijnekade
Beemster,Catharijnesingel
Beesel,Choorstraat
Berg en Dal,Croeselaan
Bergeijk,Croesestraat
Bergen (L.),  Drift 
Bergen (NH.),Damstraat
Bergen op Zoom,Domstraat
Berkelland,Domplein
Bernheze,Donkerstraat
Best,Donkere Gaard
Beuningen,Dorstige Hartsteeg
Beverwijk,Drift
De Bilt,  Eligenstraat 
Bladel,Eligenstraat
Blaricum,  Furkabaan 
Bloemendaal,F.C. Dondersstraat
Bodegraven-Reeuwijk,Furkabaan
Boekel,  Gansstraat 
Borger-Odoorn,Gansstraat
Borne,Ganzenmarkt
Borsele,Gasthuisstraat
Boxmeer,Geertekerkhof
Boxtel,Graadt van Roggenweg
Breda,Groeneweg
Brielle,  Hoefsmederijstraat 
Bronckhorst,Hamburgerstraat
Brummen,Hanengeschrei
Brunssum,Hardebollenstraat
Bunnik,Haverstraat
Bunschoten,Herenstraat
Buren,Hoefijzerstraat
Capelle aan den IJssel,Hoefsmederijpad
Castricum,Hoefsmederijstraat
Coevorden,Homeruslaan
Cranendonck,Hoogt
Cuijk,Hoogstraat
Culemborg,Houtensepad
Dalfsen,Hogelandsepark
Dantumadiel,  Israëlslaan 
Delft,Israëlslaan
Delfzijl,  Jutfaseweg 
Deurne,Jaarbeursplein
Deventer,Jacobijnenstraat
Diemen,Jan Pieterszoon Coenstraat
Dinkelland,Janskerkhof
Doesburg,Jan van Scorelstraat
Doetinchem,Jutfaseweg
Dongen,  Kromme Nieuwegracht 
Dordrecht,Kanaalstraat
Drechterland,Kanaalweg
Drimmelen,Kapelstraat
Dronten,Keistraat
Druten,Keizerstraat
Duiven,Keulsekade
Echt-Susteren,Kintgenshaven
Edam-Volendam,Kleine Singel
Ede,Korte Lauwerstraat
Eemnes,Korte Minrebroederstraat
Eersel,Korte Nieuwstraat
Eijsden-Margraten,Kromme Nieuwegracht
Eindhoven,Kruisstraat
Elburg,  Lange Nieuwstraat 
Emmen,Lange Lauwerstraat
Enkhuizen,Lange Nieuwstraat
Enschede,Lange Viestraat
Epe,Ledig Erf
Ermelo,Leidsekade
Etten-Leur,Leidseveer
De Fryske Marren,Leidseweg
Geertruidenberg,Lepelenburg
Geldrop-Mierlo,Lichte Gaard
Gemert-Bakel,Loeff Berchmakerstraat
Gennep,Lucasbolwerk
Gilze en Rijen,Lijnmarkt
Goeree-Overflakkee,  Monseigneur van de Weteringstraat 
Goes,Maarssenbroeksedijk
Goirle,Majellapark
Gooise Meren,Maliebaan
Gorinchem,Mariaplaats
Gouda,Massegast
Grave,Minrebroederstraat
's-Gravenhage,Monseigneur van de Weteringstraat
Groningen,Moreelsepark
Gulpen-Wittem,Muntstraat
Haaksbergen,  Nieuwe Houtenseweg 
Haaren,Nachtegaalstraat
Haarlem,Neude
Haarlemmermeer,Nicolaasweg
Halderberge,Nieuwegracht
Hardenberg,Nieuwe Houtenseweg
Harderwijk,Nobeldwarsstraat
Hardinxveld-Giessendam,Nobelstraat
Harlingen,  Oorsprongpark 
Hattem,Oorsprongpark
Heemskerk,Oosterkade
Heemstede,Oudegracht
Heerde,Oudkerkhof
Heerenveen,  Poortstraat 
Heerhugowaard,Paardenveld
Heerlen,Pieterskerkhof
Heeze-Leende,Pieterstraat
Heiloo,Plompetorenbrug
Den Helder,Plompetorengracht
Hellendoorn,Poortstraat
Hellevoetsluis,Potterstraat
Helmond,Predikherenkerkhof
Hendrik-Ido-Ambacht,Predikherenstraat
Hengelo,Prins Hendriklaan
's-Hertogenbosch,  Ridderschapstraat 
Heumen,Ridderschapstraat
Heusden,Rubenslaan
Hillegom,  Sint Jacobsstraat 
Hilvarenbeek,Servaasbolwerk
Hilversum,Servetstraat
Hoeksche Waard,Sint Jacobsstraat
Hof van Twente,Springweg
Het Hogeland,Stadhuisbrug
Hollands Kroon,Stadionlaan
Hoogeveen,Stadsbuitengracht
Hoorn,Steenweg
Horst aan de Maas,Sterrenburg
Houten,  Twijnstraat aan de Werf 
Huizen,Tolsteegbrug
Hulst,Trans
IJsselstein,Twijnstraat en Twijnstraat aan de Werf
Kaag en Braassem,  Veeartsenij-pad 
Kampen,Van Asch van Wijckskade
Kapelle,Van Limburg Stirumstraat
Katwijk,Veeartsenijpad
Kerkrade,Vismarkt
Koggenland,Vleutenseweg
Krimpen aan den IJssel,Vredenburg
Krimpenerwaard,Vondellaan
Laarbeek,Voorstraat
Landerd,  Wulpstraat 
Landgraaf,Waterlinieweg
Landsmeer,Waterstraat
Langedijk,Wed
Lansingerland,Westerkade
Laren,Willem van Noortplein
Leeuwarden,Westplein
Leiden,Wilhelminapark
Leiderdorp,Wittevrouwenstraat
Leidschendam-Voorburg,Wittevrouwensingel
Lelystad,Wulpstraat
Leudal,Wijde Begijnestraat
Leusden,  Zadelstraat 
Lingewaard,Zadelstraat
Lisse,Zonstraat
Lochem,Zuilenstraat
Loon op Zand,
Lopik,
Loppersum,
Losser,
Maasdriel,
Maasgouw,
Maassluis,
Maastricht,
Medemblik,
Meerssen,
Meierijstad,
Meppel,
Middelburg,
Midden-Delfland,
Midden-Drenthe,
Midden-Groningen,
Mill en Sint Hubert,
Moerdijk,
Molenlanden,
Montferland,
Montfoort,
Mook en Middelaar,
Neder-Betuwe,
Nederweert,
Nieuwegein,
Nieuwkoop,
Nijkerk,
Nijmegen,
Nissewaard,
Noardeast-Fryslân,
Noord-Beveland,
Noordenveld,
Noordoostpolder,
Noordwijk,
"Nuenen, Gerwen en Nederwetten",
Nunspeet,
Oegstgeest,
Oirschot,
Oisterwijk,
Oldambt,
Oldebroek,
Oldenzaal,
Olst-Wijhe,
Ommen,
Oost Gelre,
Oosterhout,
Ooststellingwerf,
Oostzaan,
Opmeer,
Opsterland,
Oss,
Oude IJsselstreek,
Ouder-Amstel,
Oudewater,
Overbetuwe,
Papendrecht,
Peel en Maas,
Pekela,
Pijnacker-Nootdorp,
Purmerend,
Putten,
Raalte,
Reimerswaal,
Renkum,
Renswoude,
Reusel-De Mierden,
Rheden,
Rhenen,
Ridderkerk,
Rijssen-Holten,
Rijswijk,
Roerdalen,
Roermond,
De Ronde Venen,
Roosendaal,
Rotterdam,
Rozendaal,
Rucphen,
Schagen,
Scherpenzeel,
Schiedam,
Schiermonnikoog,
Schouwen-Duiveland,
Simpelveld,
Sint Anthonis,
Sint-Michielsgestel,
Sittard-Geleen,
Sliedrecht,
Sluis,
Smallingerland,
Soest,
Someren,
Son en Breugel,
Stadskanaal,
Staphorst,
Stede Broec,
Steenbergen,
Steenwijkerland,
Stein,
Stichtse Vecht,
Súdwest-Fryslân,
Terneuzen,
Terschelling,
Texel,
Teylingen,
Tholen,
Tiel,
Tilburg,
Tubbergen,
Twenterand,
Tynaarlo,
Tytsjerksteradiel,
Uden,
Uitgeest,
Uithoorn,
Urk,
Utrecht,
Utrechtse Heuvelrug,
Vaals,
Valkenburg aan de Geul,
Valkenswaard,
Veendam,
Veenendaal,
Veere,
Veldhoven,
Velsen,
Venlo,
Venray,
Vijfheerenlanden,
Vlaardingen,
Vlieland,
Vlissingen,
Voerendaal,
Voorschoten,
Voorst,
Vught,
Waadhoeke,
Waalre,
Waalwijk,
Waddinxveen,
Wageningen,
Wassenaar,
Waterland,
Weert,
Weesp,
West Betuwe,
West Maas en Waal,
Westerkwartier,
Westerveld,
Westervoort,
Westerwolde,
Westland,
Weststellingwerf,
Westvoorne,
Wierden,
Wijchen,
Wijdemeren,
Wijk bij Duurstede,
Winterswijk,
Woensdrecht,
Woerden,
De Wolden,
Wormerland,
Woudenberg,
Zaanstad,
Zaltbommel,
Zandvoort,
Zeewolde,
Zeist,
Zevenaar,
Zoetermeer,
Zoeterwoude,
Zuidplas,
Zundert,
Zutphen,
Zwartewaterland,
Zwijndrecht,
Zwolle,
